# English method dictionary: word<TAB>Traditional Chinese candidate
# Generated from MCK-compatible English keys; project choices may override ambiguous mappings.
aardvark	土豬
abacus	算盤
abalone	鮑魚
abandon	放棄
abandoned	廢
abash	使羞愧
abattoir	屠場
abbess	女修道院長
abbey	大修道院
abbot	修道張
abbott	大修道院長
abbreviated	簡約
abbreviation	約言
abdicate	讓位
abdomen	下腹
abduct	劫持
abductor	誘拐者
abe	最愛
abet	教唆
abhor	痛恨
abilene	亞比利尼
ability	能力
abject	卑怯
abjure	誓絕
abkhazia	阿布哈茲
ablation	消蝕
able	有能力
abnormal	不對
abnormality	畸形
aboard	在車
abolish	廢除
abolition	廢止
abominable	可惡
abominations	淫猥
aboriginal	土著
aborigine	原住民
abort	退出
abortion	人工流產
abortive	未成
about	大約
above	在﹍之上
abrade	研磨
abraham	亞伯拉罕
abrasion	磨損
abrasive	粗厲
abreast	並排
abridge	縮寫
abridged	刪簡壓縮
abrin	甲替色氨酸
abroad	國外
abrogate	廢除
abrupt	突然
abruptly	猛然
abs	阿必尚
absalom	押沙龍
abscissa	橫座標
abscond	逃逸
absence	離開
absent	不在
absolute	完全
absolutely	十分
absolutism	專制主義
absorb	吸取
absorbability	吸附性
absorbent	吸水
absorption	專心
abstain	戒除
abstention	白票
abstinence	戒絕
abstract	大要
abstraction	禪
abstruse	深邃
absurd	荒怪不經
abundance	優裕
abundant	充分
abuse	恥罵
abyss	深處
abyssinia	阿比西尼亞
acacia	金合歡
academia	學術界
academic	學術
academies	書院
academy	學院
acapulco	阿卡普爾科
accede	俞
accelerate	加快
acceleration	加速度
accent	重音
accept	接下來
acceptability	可接受性
acceptable	可接受
accepted	無爭議
access	到達
accessibility	可達度
accessible	可到達
accession	即位
accessories	配件
accessory	同謀
accident	不測
accidental	無意
acclaim	歡呼
acclaimed	盛讚
acclamation	讙
accommodate	通融
accommodating	相通
accommodation	住宿
accompany	隨從
accompanying	隨同
accomplice	幫兇
accomplish	實現
accomplished	技藝高超
