# UTF-8: committed context<TAB>suffix to append. Leading suffix spaces are significant.
反智	轉身
咁係因為你	悲觀
咁係因為你悲觀	，我睇到由治及興帶嚟嘅好處
我睇到	由治及興帶嚟嘅好處
壞過	凱婷
這些機會	不是屬於我的
吔屎	啦你
世界	第一
見字	飲水
一晚	五次
老	Best
影到我	 plz del
影到我	記得send返畀我
打敗	99.9%香港人
我算唔算已經	贏咗99%香港人
我個女一歲	已經
好心你	收皮啦
你7街	瞓
唔識	就問
日夜都	繽紛
真係日夜都	繽紛
又執	一間
美麗新	香港
我不確定	這是一個擁有社會共識的吃法
從從容容	游刃有餘
匆匆忙忙	連滾帶爬
本來應該	從從容容游刃有餘
現在是	匆匆忙忙連滾帶爬
你在哭	什麼啊
你在哽咽	什麼
已購買	，小孩愛吃
超派	鐵拳
醋飯	天條
山道猴子	的一生
你長得很像	茶碗蒸
晚安	瑪卡巴卡
晚安	大小姐
大巨蛋	下水道
呀咧	呀咧
你這不是	來了嗎
考獵人	執照
來	都來了
居然	、竟然
大展	鴻圖
熱甲	扣八
好探	喔
不錯	不錯
的	相反
回答我	！
露比醬	～嗨！
你喜歡	什麼？
建議手臂	加強
義大利	山海經
信我是	秦始皇
都是張藝興	的錯
你後面	有車
高麗菜	煮蛋那桌
高麗菜	那桌 +1
請去高麗菜	那桌坐
初級	大人
中級	大人
高級	大人
我只是	初級大人
我再	 ven 一次
